Name,Birth/death dates,File name,century
Jennifer Hornsby,born 1951,Jennifer_Hornsby.txt,20
Jeremy Bentham,1748–1832,Jeremy_Bentham.txt,18
Jerome Frank (lawyer),1889–1957,Jerome_Frank_(lawyer).txt,20
Jerry Fodor,1935–2017,Jerry_Fodor.txt,20
Jerzy Wróblewski,1926–1990,Jerzy_Wróblewski.txt,20
Jiddu Krishnamurti,1895–1986,Jiddu_Krishnamurti.txt,20
Jinul,1158–1210,Jinul.txt,12
Joachim Jungius,1587–1657,Joachim_Jungius.txt,17
Joachim of Fiore,1135–1201,Joachim_of_Fiore.txt,12
Joane Petrizi,12th century,Joane_Petrizi.txt,12
Joel Feinberg,1926–2004,Joel_Feinberg.txt,20
Johann Augustus Eberhard,1739–1809,Johann_Augustus_Eberhard.txt,18
Johann Bernhard Basedow,1724–1790,Johann_Bernhard_Basedow.txt,18
Johann Christoph Gottsched,1700–1766,Johann_Christoph_Gottsched.txt,18
Johann Franz Buddeus,1667–1729,Johann_Franz_Buddeus.txt,17
Johann Friedrich Herbart,1776–1841,Johann_Friedrich_Herbart.txt,19
Johann Georg Hamann,1730–1788,Johann_Georg_Hamann.txt,18
Johann Gottfried Herder,1744–1803,Johann_Gottfried_Herder.txt,18
Johann Heinrich Lambert,1728–1777,Johann_Heinrich_Lambert.txt,18
Johann Heinrich Pestalozzi,1746–1827,Johann_Heinrich_Pestalozzi.txt,18
Johann Jakob Bachofen,1815–1887,Johann_Jakob_Bachofen.txt,19
Johann Karl Friedrich Rosenkranz,1805–1879,Johann_Karl_Friedrich_Rosenkranz.txt,19
Johann Kaspar Lavater,1741–1801,Johann_Kaspar_Lavater.txt,18
Johann Sturm,1635–1703,Johann_Sturm.txt,17
Johann Wolfgang Goethe,1749–1832,Johann_Wolfgang_Goethe.txt,18
Johannes Althusius,1557–1638,Johannes_Althusius.txt,16
Johannes Capreolus,1380–1444,Johannes_Capreolus.txt,15
Johannes Clauberg,1622–1665,Johannes_Clauberg.txt,17
Johannes Kepler,1571–1630,Johannes_Kepler.txt,17
Johannes Nikolaus Tetens,1736–1807,Johannes_Nikolaus_Tetens.txt,18
Johannes Scotus Eriugena,c. 800–c. 880,Johannes_Scotus_Eriugena.txt,9
Johannes Tauler,c. 1300 – 1361,Johannes_Tauler.txt,14
John Anderson (philosopher),1893–1962,John_Anderson_(philosopher).txt,20
John Arthur Passmore,1914–2004,John_Arthur_Passmore.txt,20
John Austin (legal philosophy),1790–1859,John_Austin_(legal_philosophy).txt,19
John B. Watson,1878–1958,John_B._Watson.txt,20
John Balguy,1686–1748,John_Balguy.txt,18
John Calvin,1509–1564,John_Calvin.txt,16
John Colet,1466–1519,John_Colet.txt,15
John Cook Wilson,1849–1915,John_Cook_Wilson.txt,19
John Dewey,1859–1952,John_Dewey.txt,20
John Earman,born 1942,John_Earman.txt,20
John Ellis McTaggart,1866–1925,John_Ellis_McTaggart.txt,19
John Finnis,born 1940,John_Finnis.txt,20
John Fiske (philosopher),1842–1901,John_Fiske_(philosopher).txt,19
John Gay,1685–1732,John_Gay.txt,18
John Gray (philosopher),born 1948,John_Gray_(philosopher).txt,20
John Grote,1813–1866,John_Grote.txt,19
John Henry Newman,1801–1890,John_Henry_Newman.txt,19
John Herschel,1792–1871,John_Herschel.txt,19
John Hick,1922–2012,John_Hick.txt,20
John Holloway (sociologist),born 1947,John_Holloway_(sociologist).txt,20
John Locke,1632–1704,John_Locke.txt,17
John Lucas (philosopher),born 1929,John_Lucas_(philosopher).txt,20
John Major (philosopher),1467–1550,John_Major_(philosopher).txt,16
John Maynard Keynes,1883–1946,John_Maynard_Keynes.txt,20
John McDowell,born 1942,John_McDowell.txt,20
John Millar (philosopher),1735–1801,John_Millar_(philosopher).txt,18
John Milton,1608–1674,John_Milton.txt,17
John Norris (philosopher),1657–1711,John_Norris_(philosopher).txt,17
John Peckham,died 1292,John_Peckham.txt,13
John Philoponus,early 6th century,John_Philoponus.txt,6
John Ralston Saul,born 1947,John_Ralston_Saul.txt,20
John Rawls,1921–2002,John_Rawls.txt,20
John Ray,1627–1705,John_Ray.txt,17
John Searle,born 1932,John_Searle.txt,20
John Selden,1584–1654,John_Selden.txt,17
John Sergeant (priest),1623–1704,John_Sergeant_(priest).txt,17
John Stuart Mill,1806–1873,John_Stuart_Mill.txt,19
John Toland,1670–1722,John_Toland.txt,17
John Venn,1834–1923,John_Venn.txt,19
John Wisdom,1904–1993,John_Wisdom.txt,20
John Witherspoon,1723–1794,John_Witherspoon.txt,18
John Wood Oman,1860–1939,John_Wood_Oman.txt,19
John Wyclif,c. 1330 – 1384,John_Wyclif.txt,14
John of Damascus,c. 676–749,John_of_Damascus.txt,8
John of Jandun,1280–1328,John_of_Jandun.txt,14
John of La Rochelle,1190–1245,John_of_La_Rochelle.txt,13
John of Mirecourt,c. 1345,John_of_Mirecourt.txt,14
John of Paris,1260–1306,John_of_Paris.txt,13
John of Ruysbroeck,1293–1381,John_of_Ruysbroeck.txt,14
John of Salisbury,c. 1115–1180,John_of_Salisbury.txt,12
John of St. Thomas,1589–1644,John_of_St._Thomas.txt,17
John of the Cross,1542–1591,John_of_the_Cross.txt,16
John von Neumann,1903–1957,John_von_Neumann.txt,20
Jon Elster,born 1940,Jon_Elster.txt,20
Jonathan Barnes,born 1942,Jonathan_Barnes.txt,20
Jonathan Bennett (philosopher),born 1930,Jonathan_Bennett_(philosopher).txt,20
Jonathan Edwards (theologian),1703–1758,Jonathan_Edwards_(theologian).txt,18
Jonathan Glover,born 1941,Jonathan_Glover.txt,20
Jordan B. Peterson,born 1962,Jordan_B._Peterson.txt,20
Jose Ferrater-Mora,1912–1991,Jose_Ferrater-Mora.txt,20
Josef Popper-Lynkeus,1838–1921,Josef_Popper-Lynkeus.txt,19
Joseph Addison,1672–1719,Joseph_Addison.txt,17
Joseph Albo,1380–1444,Joseph_Albo.txt,15
Joseph Butler,1692–1752,Joseph_Butler.txt,18
Joseph D. Sneed,1938–2020,Joseph_D._Sneed.txt,20
Joseph Dietzgen,1828–1888,Joseph_Dietzgen.txt,19
Joseph Déjacque,1821–1865,Joseph_Déjacque.txt,19
Joseph Glanvill,1636–1680,Joseph_Glanvill.txt,17
Joseph Maréchal,1878–1944,Joseph_Maréchal.txt,20
Joseph Priestley,1733–1804,Joseph_Priestley.txt,18
Joseph Raz,born 1939,Joseph_Raz.txt,20
Joseph Rovan,1918–2004,Joseph_Rovan.txt,20
Joseph Schumpeter,1883–1950,Joseph_Schumpeter.txt,20
Joseph Smith,1805–1844,Joseph_Smith.txt,19
Joseph Soloveitchik,1903–1993,Joseph_Soloveitchik.txt,20
Joseph Vissarionovich Stalin,1878–1953,Joseph_Vissarionovich_Stalin.txt,20
Joseph de Maistre,1753–1821,Joseph_de_Maistre.txt,18
Joseph ibn Tzaddik,c. 1149,Joseph_ibn_Tzaddik.txt,12
Josiah Gibbs,1839–1903,Josiah_Gibbs.txt,19
Josiah Royce,1865–1916,Josiah_Royce.txt,19
José Carlos Mariátegui,1894–1930,José_Carlos_Mariátegui.txt,20
José Ingenieros,1877–1925,José_Ingenieros.txt,20
José Martí,1853–1895,José_Martí.txt,19
José Ortega y Gasset,1883–1955,José_Ortega_y_Gasset.txt,20
José Pablo Feinmann,born 1943,José_Pablo_Feinmann.txt,20
Juan José Sebreli,born 1930,Juan_José_Sebreli.txt,20
Juan Luís Vives,1492–1540,Juan_Luís_Vives.txt,16
Juan de Mariana,1536–1624,Juan_de_Mariana.txt,16
Judah Leon Abravanel,1460?–1535?,Judah_Leon_Abravanel.txt,15
Judah Messer Leon,c. 1425 – c. 1495,Judah_Messer_Leon.txt,15
Judah ben Moses of Rome,1292–1330,Judah_ben_Moses_of_Rome.txt,14
Judith Butler,born 1956,Judith_Butler.txt,20
Judith Jarvis Thomson,1929–2020,Judith_Jarvis_Thomson.txt,20
Jules Lequier,1814–1862,Jules_Lequier.txt,19
Julia Kristeva,born 1941,Julia_Kristeva.txt,20
Julien Offray de La Mettrie,1709–1751,Julien_Offray_de_La_Mettrie.txt,18
Julius Caesar Scaliger,1484–1558,Julius_Caesar_Scaliger.txt,16
Julián Marías,1914–2005,Julián_Marías.txt,20
Juri Lotman,1922–1993,Juri_Lotman.txt,20
Justinian I,483–565,Justinian_I.txt,6
Justus Buchler,1914–1991,Justus_Buchler.txt,20
Justus Lipsius,1547–1606,Justus_Lipsius.txt,16
Jürgen Habermas,born 1929,Jürgen_Habermas.txt,20
Kaibara Ekiken,1630–1740,Kaibara_Ekiken.txt,17
Kang Youwei,1858–1927,Kang_Youwei.txt,19
Kao Tzu,c. 420 – 350 BC,Kao_Tzu.txt,-4
Karel Kosík,1926–2003,Karel_Kosík.txt,20
Karen Swassjan,born 1948,Karen_Swassjan.txt,20
Karl Barth,1886–1968,Karl_Barth.txt,20
Karl Christian Friedrich Krause,1781–1832,Karl_Christian_Friedrich_Krause.txt,19
Karl Friedrich Bahrdt,1741–1792,Karl_Friedrich_Bahrdt.txt,18
Karl Grün,1817–1887,Karl_Grün.txt,19
Karl Jaspers,1883–1969,Karl_Jaspers.txt,20
Karl Kautsky,1854–1938,Karl_Kautsky.txt,19
Karl Korsch,1886–1961,Karl_Korsch.txt,20
Karl Kraus (writer),1874–1936,Karl_Kraus_(writer).txt,20
Karl Leonhard Reinhold,1757–1823,Karl_Leonhard_Reinhold.txt,18
Karl Mannheim,1893–1947,Karl_Mannheim.txt,20
Karl Marx,1818–1883,Karl_Marx.txt,19
Karl Nickerson Llywelyn,1893–1962,Karl_Nickerson_Llywelyn.txt,20
Karl Olivecrona,1897–1980,Karl_Olivecrona.txt,20
Karl Pearson,1857–1936,Karl_Pearson.txt,19
Karl Philipp Moritz,1756–1793,Karl_Philipp_Moritz.txt,18
Karl Polanyi,1886–1964,Karl_Polanyi.txt,20
Karl Popper,1902–1994,Karl_Popper.txt,20
Karl Rahner,1904–1984,Karl_Rahner.txt,20
Karl Renner,1870–1950,Karl_Renner.txt,20
Karl Wilhelm Ferdinand Solger,1780–1890,Karl_Wilhelm_Ferdinand_Solger.txt,19
Karl Wilhelm Friedrich Schlegel,1772–1829,Karl_Wilhelm_Friedrich_Schlegel.txt,19
Karl-Otto Apel,1922–2017,Karl-Otto_Apel.txt,20
Kazimierz Ajdukiewicz,1890–1963,Kazimierz_Ajdukiewicz.txt,20
Kazimierz Twardowski,1866–1938,Kazimierz_Twardowski.txt,20
Keith Lehrer,born 1936,Keith_Lehrer.txt,20
Kenelm Digby,1603–1665,Kenelm_Digby.txt,17
Kenneth Allen Taylor,1954–2019,Kenneth_Allen_Taylor.txt,20
Kenneth Arrow,1921–2017,Kenneth_Arrow.txt,20
Khedrup Gelek Pelzang,1385–1438,Khedrup_Gelek_Pelzang.txt,15
Konstantin Kavelin,1818–1885,Konstantin_Kavelin.txt,19
Konstantin Nikolaevich Leont'ev,1831–1891,Konstantin_Nikolaevich_Leont'ev.txt,19
Kuki Shūzō,1888–1941,Kuki_Shūzō.txt,20
Kumazawa Banzan,1619–1691,Kumazawa_Banzan.txt,17
Kumārila Bhaṭṭa,fl. roughly 700,Kumārila_Bhaṭṭa.txt,8
Kuno Fischer,1824–1907,Kuno_Fischer.txt,19
Kuo Hsiang,died c. 312,Kuo_Hsiang.txt,4
Kurt Baier,1917–2010,Kurt_Baier.txt,20
Kurt Gödel,1906–1978,Kurt_Gödel.txt,20
Kurt Koffka,1886–1941,Kurt_Koffka.txt,20
Kurt Lewin,1890–1947,Kurt_Lewin.txt,20
Kurt Singer,1886–1962,Kurt_Singer.txt,20
Kwame Nkrumah,1909–1972,Kwame_Nkrumah.txt,20
Kwasi Wiredu,born 1931,Kwasi_Wiredu.txt,20
Kūkai,774–835,Kūkai.txt,9
L. Jonathan Cohen,1923–2006,L._Jonathan_Cohen.txt,20
L. Susan Stebbing,1885–1943,L._Susan_Stebbing.txt,20
Lady Anne Finch Conway,1631–1679,Lady_Anne_Finch_Conway.txt,17
Lady Mary Shepherd,1777–1847,Lady_Mary_Shepherd.txt,19
Lao Zi,4th century&nbsp;BC,Lao_Zi.txt,-4
Laurens Perseus Hickok,1798–1888,Laurens_Perseus_Hickok.txt,19
Leo Löwenthal,1900–1993,Leo_Löwenthal.txt,20
Leo Mikhailovich Lopatin,1855–1920,Leo_Mikhailovich_Lopatin.txt,19
Leo Strauss,1899–1973,Leo_Strauss.txt,20
Leo Tolstoy,1828–1910,Leo_Tolstoy.txt,19
Leon Brunschvicg,1869–1944,Leon_Brunschvicg.txt,20
Leon Chwistek,1884–1944,Leon_Chwistek.txt,20
Leon Petrazycki,1867–1931,Leon_Petrazycki.txt,19
Leon Trotsky,1879–1940,Leon_Trotsky.txt,20
Leonard Nelson,1882–1927,Leonard_Nelson.txt,20
Leonard Trelawny Hobhouse,1864–1929,Leonard_Trelawny_Hobhouse.txt,19
Leonardo Boff,born 1938,Leonardo_Boff.txt,20
Leonardo da Vinci,1452–1519,Leonardo_da_Vinci.txt,15
Leopold Kronecker,1823–1891,Leopold_Kronecker.txt,19
Leslie Stephen,1832–1904,Leslie_Stephen.txt,19
Leszek Kołakowski,1927–2009,Leszek_Kołakowski.txt,20
Leucippus,5th century&nbsp;BC,Leucippus.txt,-5
Lev Shestov,1866–1938,Lev_Shestov.txt,20
Lev Vygotsky,1896–1934,Lev_Vygotsky.txt,20
Lewis Carroll,1832–1898,Lewis_Carroll.txt,19
Lewis H. Morgan,1818–1881,Lewis_H._Morgan.txt,19
Liang Qichao,1873–1929,Liang_Qichao.txt,20
Lie Yukou,c. 440 – c. 360& BC,Lie_Yukou.txt,-5
Linji Yixuan,c. 810 – 867,Linji_Yixuan.txt,9
Linus Pauling,1901–1994,Linus_Pauling.txt,20
Liu An,179–122 BC,Liu_An.txt,-2
Liu Shaoqi,1898–1969,Liu_Shaoqi.txt,20
Lon L. Fuller,1902–1978,Lon_L._Fuller.txt,20
Longinus (literature),1st century,Longinus_(literature).txt,1
Lorenz Oken,1779–1851,Lorenz_Oken.txt,19
Lorenzo Valla,1406–1457,Lorenzo_Valla.txt,15
Lorraine Code,born 1937,Lorraine_Code.txt,20
Louis Althusser,1918–1990,Louis_Althusser.txt,20
Louis Couturat,1868–1914,Louis_Couturat.txt,19
Louis Gabriel Ambroise de Bonald,1754–1840,Louis_Gabriel_Ambroise_de_Bonald.txt,18
Louis Lavelle,1883–1951,Louis_Lavelle.txt,20
Louis de La Forge,1632–1666,Louis_de_La_Forge.txt,17
Lu Jiuyuan,1139–1193,Lu_Jiuyuan.txt,12
"Luc de Clapiers, marquis de Vauvenargues",1715–1747,"Luc_de_Clapiers,_marquis_de_Vauvenargues.txt",18
Luce Irigaray,born 1930,Luce_Irigaray.txt,20
Lucian,c. 120 – c. 180,Lucian.txt,2
Lucien Goldmann,1913–1970,Lucien_Goldmann.txt,20
Lucien Lévy-Bruhl,1857–1939,Lucien_Lévy-Bruhl.txt,19
Lucilio Vanini,1585–1619,Lucilio_Vanini.txt,17
Lucio Colletti,1924–2001,Lucio_Colletti.txt,20
Lucretius,c. 99 – 55 BC,Lucretius.txt,-1
Lucrezia Marinella,1571–1653,Lucrezia_Marinella.txt,17
Ludovico Silva,1937–1988,Ludovico_Silva.txt,20
Ludwig Andreas Feuerbach,1804–1872,Ludwig_Andreas_Feuerbach.txt,19
Ludwig Binswanger,1881–1966,Ludwig_Binswanger.txt,20
Ludwig Boltzmann,1844–1906,Ludwig_Boltzmann.txt,19
Ludwig Büchner,1824–1899,Ludwig_Büchner.txt,19
Ludwig Klages,1872–1956,Ludwig_Klages.txt,20
Ludwig Landgrebe,1902–1992,Ludwig_Landgrebe.txt,20
Ludwig Wittgenstein,1889–1951,Ludwig_Wittgenstein.txt,20
Ludwig von Bertalanffy,1901–1972,Ludwig_von_Bertalanffy.txt,20
Ludwik Fleck,1896-1961,Ludwik_Fleck.txt,20
Luigi Ferri,1826–1895,Luigi_Ferri.txt,19
Luis de Molina,1535–1600,Luis_de_Molina.txt,16
Luitzen Egbertus Jan Brouwer,1881–1966,Luitzen_Egbertus_Jan_Brouwer.txt,20
Lynne Rudder Baker,1944–2017,Lynne_Rudder_Baker.txt,20
Lysander Spooner,1808–1887,Lysander_Spooner.txt,19
Lyubov Axelrod,1868–1946,Lyubov_Axelrod.txt,20
M.N.Roy,1887–1954,M.N.Roy.txt,20
Madeleine de Scudéry,1607–1701,Madeleine_de_Scudéry.txt,17
Madhava of Sangamagrama,died 1386,Madhava_of_Sangamagrama.txt,14
Mahatma Gandhi,1869–1948,Mahatma_Gandhi.txt,20
Mahavira,599–527&nbsp;BC,Mahavira.txt,-6
Maimonides,1135–1204,Maimonides.txt,12
Maine de Biran,1766–1824,Maine_de_Biran.txt,18
Malcolm Budd,born 1941,Malcolm_Budd.txt,20
Mani (prophet),3rd century,Mani_(prophet).txt,3
Mao Zedong,1893–1976,Mao_Zedong.txt,20
Marcel Gauchet,born 1946,Marcel_Gauchet.txt,20
Marcel Proust,1871–1922,Marcel_Proust.txt,19
Marcion of Sinope,110–160,Marcion_of_Sinope.txt,2
Marcus Aurelius,121–180,Marcus_Aurelius.txt,2
Margaret Cavendish,1623–1673,Margaret_Cavendish.txt,17
Margaret Fell,1614–1702,Margaret_Fell.txt,17
Marie de Gournay,1565–1645,Marie_de_Gournay.txt,17
Marilyn Frye,born 1941,Marilyn_Frye.txt,20
Marilyn McCord Adams,1943–2017,Marilyn_McCord_Adams.txt,20
Marin Mersenne,1588–1648,Marin_Mersenne.txt,17
Mario Bunge,1919–2020,Mario_Bunge.txt,20
Mark Sainsbury (philosopher),born 1943,Mark_Sainsbury_(philosopher).txt,20
Marko Marulić,1450–1524,Marko_Marulić.txt,15
Marquis de Condorcet,1743–1794,Marquis_de_Condorcet.txt,18
Marsilio Ficino,1433–1499,Marsilio_Ficino.txt,15
Marsilius of Inghen,1330–1396,Marsilius_of_Inghen.txt,14
Marsilius of Padua,1270–1342,Marsilius_of_Padua.txt,14
Martha Nussbaum,born 1947,Martha_Nussbaum.txt,20
Martin Buber,1878–1965,Martin_Buber.txt,20
Martin Heidegger,1889–1976,Martin_Heidegger.txt,20
Martin Knutzen,1713–1751,Martin_Knutzen.txt,18
Martin Luther,1483–1546,Martin_Luther.txt,16
Martin Luther King Jr.,1929–1968,Martin_Luther_King_Jr..txt,20
Mary Astell,1666–1731,Mary_Astell.txt,17
Mary Midgley,1919–2018,Mary_Midgley.txt,20
Mary Wollstonecraft,1759–1797,Mary_Wollstonecraft.txt,18
Matthew Arnold,1822–1888,Matthew_Arnold.txt,19
Matthew Tindal,1657–1733,Matthew_Tindal.txt,17
Matthew of Aquasparta,1238–1302,Matthew_of_Aquasparta.txt,13
Maurice Blanchot,1907–2003,Maurice_Blanchot.txt,20
Maurice Blondel,1861–1949,Maurice_Blondel.txt,20
Maurice Merleau-Ponty,1908–1961,Maurice_Merleau-Ponty.txt,20
Max Black,1909–1988,Max_Black.txt,20
Max Horkheimer,1895–1973,Max_Horkheimer.txt,20
Max Planck,1858–1947,Max_Planck.txt,20
Max Scheler,1874–1928,Max_Scheler.txt,20
Max Stirner,1806–1856,Max_Stirner.txt,19
Max Weber,1864–1920,Max_Weber.txt,19
Meister Eckhart,1260–1327/8,Meister_Eckhart.txt,7
Melissus of Samos,late 5th century&nbsp;BC,Melissus_of_Samos.txt,-5
Menasseh Ben Israel,1604–1657,Menasseh_Ben_Israel.txt,17
Mencius,372–289 BC,Mencius.txt,-4
Menyhért Palágyi,1859–1924,Menyhért_Palágyi.txt,19
Merab Mamardashvili,1930–1990,Merab_Mamardashvili.txt,20
Michael A. Smith (philosopher),born 1954,Michael_A._Smith_(philosopher).txt,20
Michael Dummett,1925–2011,Michael_Dummett.txt,20
Michael Faraday,1791–1867,Michael_Faraday.txt,19
Michael Frede,1940–2007,Michael_Frede.txt,20
Michael Hardt,born 1960,Michael_Hardt.txt,20
Michael Löwy,born 1938,Michael_Löwy.txt,20
Michael Oakeshott,1901–1990,Michael_Oakeshott.txt,20
Michael Polanyi,1891–1976,Michael_Polanyi.txt,20
Michael Ruse,born 1940,Michael_Ruse.txt,20
Michael Sandel,born 1953,Michael_Sandel.txt,20
Michael Tye (philosopher),born 1950,Michael_Tye_(philosopher).txt,20
Michael Walzer,born 1935,Michael_Walzer.txt,20
Michal Sedziwój,1566–1636,Michal_Sedziwój.txt,17
Michel Foucault,1926–1984,Michel_Foucault.txt,20
Michel Henry,1922–2002,Michel_Henry.txt,20
Michel Onfray,born 1959,Michel_Onfray.txt,20
Michel Serres,1930–2019,Michel_Serres.txt,20
Michel Villey,1914–1988,Michel_Villey.txt,20
Michel de Certeau,1925–1986,Michel_de_Certeau.txt,20
Michel de Montaigne,1533–1592,Michel_de_Montaigne.txt,16
Michelangelo Fardella,1646–1718,Michelangelo_Fardella.txt,17
Michèle Le Dœuff,born 1948,Michèle_Le_Dœuff.txt,20
Miguel Abensour,1939–2017,Miguel_Abensour.txt,20
Miguel de Unamuno,1864–1936,Miguel_de_Unamuno.txt,20
Mihailo Marković,1923–2010,Mihailo_Marković.txt,20
Mikhail Bakhtin,1895–1975,Mikhail_Bakhtin.txt,20
Mikhail Bakunin,1814–1876,Mikhail_Bakunin.txt,19
Mikhail Lifshitz,1905–1983,Mikhail_Lifshitz.txt,20
Miki Kiyoshi,1897–1945,Miki_Kiyoshi.txt,20
Mikyo Dorje,1507–1554,Mikyo_Dorje.txt,16
Milan Kangrga,1923–2008,Milan_Kangrga.txt,20
Milan Vidmar,1885–1962,Milan_Vidmar.txt,20
Mir Damad,died 1631,Mir_Damad.txt,17
Mircea Eliade,1907–1986,Mircea_Eliade.txt,20
Miura Baien,1723–1789,Miura_Baien.txt,18
Mohammed Arkoun,1928-2010,Mohammed_Arkoun.txt,20
Monroe Beardsley,1915–1985,Monroe_Beardsley.txt,20
Mordecai Kaplan,1881–1983,Mordecai_Kaplan.txt,20
Moritz Schlick,1882–1936,Moritz_Schlick.txt,20
Morris Raphael Cohen,1880–1947,Morris_Raphael_Cohen.txt,20
Moses Hess,1812–1875,Moses_Hess.txt,19
Moses Mendelssohn,1729–1786,Moses_Mendelssohn.txt,18
Moses ben Jacob Cordovero,1522–1570,Moses_ben_Jacob_Cordovero.txt,16
Moses ibn Ezra,1070–1138,Moses_ibn_Ezra.txt,12
Motoori Norinaga,1730–1801,Motoori_Norinaga.txt,18
Mozi,c. 470 – c. 390 BC,Mozi.txt,-5
Muammar Gaddafi,1941–2011,Muammar_Gaddafi.txt,20
Muhammad Abduh,1849–1905,Muhammad_Abduh.txt,19
Muhammad Iqbal,1877–1938,Muhammad_Iqbal.txt,20
Mulla Hadi Sabzevari,1797–1873,Mulla_Hadi_Sabzevari.txt,19
Mulla Sadra,1571–1640,Mulla_Sadra.txt,17
Muro Kyuso,1658–1734,Muro_Kyuso.txt,17
Musonius Rufus,1st century,Musonius_Rufus.txt,1
Myles Frederic Burnyeat,1939–2019,Myles_Frederic_Burnyeat.txt,20
Nachman Krochmal,1785–1840,Nachman_Krochmal.txt,19
Nae Ionescu,1890–1940,Nae_Ionescu.txt,20
Nagarjuna,ca. 200 CE,Nagarjuna.txt,3
Nahmanides,1194–1270,Nahmanides.txt,13
Nancy Cartwright (philosopher),born 1943,Nancy_Cartwright_(philosopher).txt,20
Nasir al-Din al-Tusi,1201–1274,Nasir_al-Din_al-Tusi.txt,13
Nathan Salmon,born 1951,Nathan_Salmon.txt,20
Nathaniel Culverwel,1619–1651,Nathaniel_Culverwel.txt,17
Ned Block,born 1942,Ned_Block.txt,20
Nelson Goodman,1906–1998,Nelson_Goodman.txt,20
Nemesius of Emesa,fl. c. 400,Nemesius_of_Emesa.txt,5
Newton da Costa,born 1929,Newton_da_Costa.txt,20
Niccolò Machiavelli,1469–1527,Niccolò_Machiavelli.txt,15
Nichiren,1222–1282,Nichiren.txt,13
Nicholas Onufrievich Lossky,1870–1965,Nicholas_Onufrievich_Lossky.txt,20
Nicholas Rescher,born 1928,Nicholas_Rescher.txt,20
Nicholas Wolterstorff,born 1932,Nicholas_Wolterstorff.txt,20
Nicholas of Autrecourt,c. 1300 – 1369,Nicholas_of_Autrecourt.txt,14
Nicholas of Cusa,1401–1464,Nicholas_of_Cusa.txt,15
Nicola Abbagnano,1901–1990,Nicola_Abbagnano.txt,20
Nicolai Hartmann,1882–1950,Nicolai_Hartmann.txt,20
Nicolas Boileau-Despréaux,1636–1711,Nicolas_Boileau-Despréaux.txt,17
Nicolas Malebranche,1638–1715,Nicolas_Malebranche.txt,17
Nicolaus Copernicus,1473–1543,Nicolaus_Copernicus.txt,16
Nicolaus Taurellus,1547–1606,Nicolaus_Taurellus.txt,16
Nicole Oresme,1320–1382,Nicole_Oresme.txt,14
Nicoletto Vernia,1442–1499,Nicoletto_Vernia.txt,15
Nicos Poulantzas,1936–1979,Nicos_Poulantzas.txt,20
Niels Bohr,1885–1962,Niels_Bohr.txt,20
Nikolai Berdyaev,1874–1948,Nikolai_Berdyaev.txt,20
Nikolai Bukharin,1888–1938,Nikolai_Bukharin.txt,20
Nikolai Chernyshevsky,1828–1889,Nikolai_Chernyshevsky.txt,19
Nikolai Fyodorovich Fyodorov,1828–1906,Nikolai_Fyodorovich_Fyodorov.txt,19
Nikolai Ivanovich Kareev,1850–1931,Nikolai_Ivanovich_Kareev.txt,19
Nikolai Konstantinovich Mikhailovskii,1842–1904,Nikolai_Konstantinovich_Mikhailovskii.txt,19
Nishi Amane,1829–1897,Nishi_Amane.txt,19
Nishida Kitaro,1870–1945,Nishida_Kitaro.txt,20
Nishitani Keiji,1900–1990,Nishitani_Keiji.txt,20
Noah Porter,1811–1892,Noah_Porter.txt,19
Noam Chomsky,born 1928,Noam_Chomsky.txt,20
Norberto Bobbio,1909–2004,Norberto_Bobbio.txt,20
Norman Kemp Smith,1872–1958,Norman_Kemp_Smith.txt,20
Norman Malcolm,1911–1990,Norman_Malcolm.txt,20
Norman Robert Campbell,1880–1949,Norman_Robert_Campbell.txt,20
Norwood Russell Hanson,1922–1967,Norwood_Russell_Hanson.txt,20
Novalis,1772–1801,Novalis.txt,18
Nuel Belnap,born 1930,Nuel_Belnap.txt,20
Numenius of Apamea,2nd century,Numenius_of_Apamea.txt,2
Octave Hamelin,1856–1907,Octave_Hamelin.txt,19
Odo Marquard,1928–2015,Odo_Marquard.txt,20
Oets Kolk Bouwsma,1898–1978,Oets_Kolk_Bouwsma.txt,20
Ogyū Sorai,1666–1728,Ogyū_Sorai.txt,17
Olaf Stapledon,1886–1950,Olaf_Stapledon.txt,20
"Oliver Wendell Holmes, Jr.",1841–1935,"Oliver_Wendell_Holmes,_Jr..txt",19
Olympiodorus the Younger,495–570,Olympiodorus_the_Younger.txt,6
Omar Khayyam,1048–1131,Omar_Khayyam.txt,11
"Onora O'Neill, Baroness O'Neill of Bengarve",born 1941,"Onora_O'Neill,_Baroness_O'Neill_of_Bengarve.txt",20
Orestes Brownson,1803–1876,Orestes_Brownson.txt,19
Origen of Alexandria,c. 182–c. 251,Origen_of_Alexandria.txt,3
Oswald Külpe,1862–1915,Oswald_Külpe.txt,19
Oswald Spengler,1880–1936,Oswald_Spengler.txt,20
Othmar Spann,1878–1950,Othmar_Spann.txt,20
Otto Liebmann,1840–1912,Otto_Liebmann.txt,19
Otto Neurath,1882–1945,Otto_Neurath.txt,20
Otto Rühle,1874–1943,Otto_Rühle.txt,20
Otto Weininger,1880–1903,Otto_Weininger.txt,19
P. F. Strawson,1919–2006,P._F._Strawson.txt,20
Panaetius,c. 185 – c. 110&nbsp;BC,Panaetius.txt,-2
Pandurang Shastri Athavale,1920–2003,Pandurang_Shastri_Athavale.txt,20
Paracelsus,1493–1541,Paracelsus.txt,16
Parmenides,5th century&nbsp;BC,Parmenides.txt,-5
