Name,Birth/death dates,File name,century
Benjamin Franklin,1706–1790,Benjamin_Franklin.txt,18
Benjamin Peirce,1809–1880,Benjamin_Peirce.txt,19
Benjamin Tucker,1854–1939,Benjamin_Tucker.txt,19
Benjamin Whichcote,1609–1683,Benjamin_Whichcote.txt,17
Benoît de Maillet,1656–1738,Benoît_de_Maillet.txt,17
Bernard Bolzano,1781–1848,Bernard_Bolzano.txt,19
Bernard Bosanquet (philosopher),1848–1923,Bernard_Bosanquet_(philosopher).txt,19
Bernard Delfgaauw,1912–1993,Bernard_Delfgaauw.txt,20
Bernard Lonergan,1904–1984,Bernard_Lonergan.txt,20
Bernard Silvestris,1147–1178,Bernard_Silvestris.txt,12
Bernard Williams,1929–2003,Bernard_Williams.txt,20
Bernard de Mandeville,1670–1733,Bernard_de_Mandeville.txt,18
Bernard le Bovier de Fontenelle,1657–1757,Bernard_le_Bovier_de_Fontenelle.txt,18
Bernard of Chartres,died 1130,Bernard_of_Chartres.txt,12
Bernard of Clairvaux,1090–1153,Bernard_of_Clairvaux.txt,12
Bernardino Telesio,1509–1588,Bernardino_Telesio.txt,16
Bernhard Riemann,1826–1866,Bernhard_Riemann.txt,19
Bertrand Russell,1872–1970,Bertrand_Russell.txt,20
Bessarion,1403–1472,Bessarion.txt,15
Bhartrhari,5th century,Bhartrhari.txt,5
Blaise Pascal,1623–1662,Blaise_Pascal.txt,17
Blasius of Parma,1345–1416,Blasius_of_Parma.txt,14
Boetius of Dacia,c. 1240–c. 1280,Boetius_of_Dacia.txt,13
Bonaventure,1221–1274,Bonaventure.txt,13
Borden Parker Bowne,1847–1910,Borden_Parker_Bowne.txt,19
Boris Chicherin,1828–1904,Boris_Chicherin.txt,19
Brand Blanshard,1892–1987,Brand_Blanshard.txt,20
Branislav Petronijević,1875–1954,Branislav_Petronijević.txt,20
Brian Barry,1936–2009,Brian_Barry.txt,20
Bruno Bauer,1809–1882,Bruno_Bauer.txt,19
Bruno Latour,born 1947,Bruno_Latour.txt,20
Bruno de Finetti,1906–1985,Bruno_de_Finetti.txt,20
Buddhaghosa,5th century,Buddhaghosa.txt,5
C. D. Broad,1887–1971,C._D._Broad.txt,20
C. Lloyd Morgan,1852–1936,C._Lloyd_Morgan.txt,19
C. S. Lewis,1898–1963,C._S._Lewis.txt,20
Caio Prado Júnior,1907–1990,Caio_Prado_Júnior.txt,20
Calcidius,4th century,Calcidius.txt,4
Callicles,late 5th century BC,Callicles.txt,-5
Carl Gustav Carus,1789–1869,Carl_Gustav_Carus.txt,19
Carl Gustav Hempel,1905–1997,Carl_Gustav_Hempel.txt,20
Carl Jung,1875–1961,Carl_Jung.txt,20
Carl Linnaeus,1707–1778,Carl_Linnaeus.txt,18
Carl Schmitt,1888–1985,Carl_Schmitt.txt,20
Carl Stumpf,1848–1936,Carl_Stumpf.txt,19
Carl Vogt,1817–1895,Carl_Vogt.txt,19
Carlo Cattaneo,1801–1869,Carlo_Cattaneo.txt,19
Carlo Rosselli,1899–1937,Carlo_Rosselli.txt,20
Carlos Cossio,1903–1987,Carlos_Cossio.txt,20
Carneades,c. 214–129 BC,Carneades.txt,-2
Catharine Macaulay,1731–1791,Catharine_Macaulay.txt,18
Catherine Clément,born 1939,Catherine_Clément.txt,20
Catherine Trotter Cockburn,1679–1749,Catherine_Trotter_Cockburn.txt,18
Celsus,2nd century,Celsus.txt,2
"Cesare, Marquis of Beccaria",1738–1794,"Cesare,_Marquis_of_Beccaria.txt",18
Ch'ien Mu,1895–1990,Ch'ien_Mu.txt,20
Chanakya,321–296 BC,Chanakya.txt,-4
Chang Hsueh-ch'eng,1738–1801,Chang_Hsueh-ch'eng.txt,18
Chang Tsai,1020–1077,Chang_Tsai.txt,11
Charles Babbage,1791–1871,Charles_Babbage.txt,19
Charles Batteux,1713–1780,Charles_Batteux.txt,18
Charles Bernard Renouvier,1815–1903,Charles_Bernard_Renouvier.txt,19
Charles Blount (deist),1654–1693,Charles_Blount_(deist).txt,17
Charles Bonnet,1720–1793,Charles_Bonnet.txt,18
Charles Darwin,1809–1882,Charles_Darwin.txt,19
