Name,Birth/death dates,File name,Category,Field
Harriet Taylor Mill,1807–1858,Harriet_Taylor_Mill.txt,English philosophers,
Harry Frankfurt,born 1929,Harry_Frankfurt.txt,Epistemologists,Philosophers of mind
Hartry Field,born 1946,Hartry_Field.txt,Philosophers of mind,Philosophers of mind
Hasdai Crescas,c. 1340–1410,Hasdai_Crescas.txt,Jewish philosophers,Philosophers of Judaism
Hassan Hanafi,born 1935,Hassan_Hanafi.txt,Political philosophers,
Hastings Rashdall,1858–1924,Hastings_Rashdall.txt,English philosophers,
Hayashi Razan,1583–1657,Hayashi_Razan.txt,Japanese writers of the Edo period,
Hector-Neri Castañeda,1924–1991,Hector-Neri_Castañeda.txt,Epistemologists,Philosophers of mind
Heinrich Christoph Wilhelm Sigwart,1789–1844,Heinrich_Christoph_Wilhelm_Sigwart.txt,19th-century philosophers,
Heinrich Cornelius Agrippa,1436–1535,Heinrich_Cornelius_Agrippa.txt,German male non-fiction writers,
Heinrich Czolbe,1819–1873,Heinrich_Czolbe.txt,German male writers,
Heinrich Rickert,1863–1936,Heinrich_Rickert.txt,Epistemologists,Philosophers of mind
Heinrich Rudolf Hertz,1857–1894,Heinrich_Rudolf_Hertz.txt,German male writers,
Heinrich Scholz,1884–1956,Heinrich_Scholz.txt,German male non-fiction writers,
Heinrich von Kleist,1777–1811,Heinrich_von_Kleist.txt,19th-century German male writers,
Helmut Reichelt,born 1939,Helmut_Reichelt.txt,Marxist theorists,
Helmut Thielicke,1908–1986,Helmut_Thielicke.txt,German male non-fiction writers,
Helmuth Plessner,1892–1985,Helmuth_Plessner.txt,20th-century German philosophers,
Henri Bergson,1859–1941,Henri_Bergson.txt,Epistemologists,Philosophers of mind
Henri Lefebvre,1901–1991,Henri_Lefebvre.txt,Social philosophers,
Henri Poincaré,1854–1912,Henri_Poincaré.txt,Philosophers of science,Philosophers of science
Henri de Boulainvilliers,1658–1722,Henri_de_Boulainvilliers.txt,French male non-fiction writers,
Henricus Regius,1598–1679,Henricus_Regius.txt,17th-century Dutch philosophers,
Henry Babcock Veatch,1911–1997,Henry_Babcock_Veatch.txt,Metaphysicians,
Henry Corbin,1903–1978,Henry_Corbin.txt,20th-century French philosophers,
Henry David Thoreau,1817–1862,Henry_David_Thoreau.txt,Philosophers of mind,Philosophers of mind
Henry Habberley Price,1899–1984,Henry_Habberley_Price.txt,,
"Henry Home, Lord Kames",1696–1782,"Henry_Home,_Lord_Kames.txt",Moral philosophers,
Henry James Sr.,1811–1882,Henry_James_Sr..txt,American philosophers,
Henry Longueville Mansel,1820–1871,Henry_Longueville_Mansel.txt,English philosophers,
Henry More,1614–1687,Henry_More.txt,Enlightenment philosophers,
Henry Sidgwick,1838–1900,Henry_Sidgwick.txt,Moral philosophers,Philosophers of ethics and morality
"Henry St John, 1st Viscount Bolingbroke",1678–1751,"Henry_St_John,_1st_Viscount_Bolingbroke.txt",Fellows of the Royal Society,
Henry Stanton,1805–1887,Henry_Stanton.txt,19th-century philosophers,
Henry Suso,1300–1366,Henry_Suso.txt,German male non-fiction writers,
Henry Thomas Buckle,1821–1862,Henry_Thomas_Buckle.txt,English male non-fiction writers,
Henry of Ghent,c. 1217–1293,Henry_of_Ghent.txt,Catholic philosophers,
Henry of Harclay,1270–1317,Henry_of_Harclay.txt,English philosophers,
Heraclides Ponticus,387–312 BC,Heraclides_Ponticus.txt,4th-century BC philosophers,
Heraclitus,ca. 535–475 BC,Heraclitus.txt,Epistemologists,Philosophers of mind
Herbert Feigl,1902–1988,Herbert_Feigl.txt,Philosophers of science,Philosophers of science
Herbert Marcuse,1898–1979,Herbert_Marcuse.txt,Social critics,Philosophers of technology
Herbert Spencer,1820–1903,Herbert_Spencer.txt,Moral philosophers,Philosophers of science
Herbert Spiegelberg,1904–1990,Herbert_Spiegelberg.txt,20th-century American philosophers,
Herman Dooyeweerd,1894–1977,Herman_Dooyeweerd.txt,Continental philosophers,
Hermann Cohen,1842–1918,Hermann_Cohen.txt,Moral philosophers,Philosophers of culture
Hermann Friedrich Wilhelm Hinrichs,1794–1861,Hermann_Friedrich_Wilhelm_Hinrichs.txt,German male writers,
Hermann Graf Keyserling,1880–1946,Hermann_Graf_Keyserling.txt,20th-century German philosophers,
Hermann Lotze,1817–1881,Hermann_Lotze.txt,Epistemologists,Philosophers of mind
Hermann Samuel Reimarus,1694–1768,Hermann_Samuel_Reimarus.txt,German male writers,
Hermann Ulrici,1806–1884,Hermann_Ulrici.txt,German philosophers,
Hermann Weyl,1885–1955,Hermann_Weyl.txt,20th-century German philosophers,
Hermann von Helmholtz,1821–1894,Hermann_von_Helmholtz.txt,Recipients of the Pour le Mérite (civil class),
Hervaeus Natalis,1250–1323,Hervaeus_Natalis.txt,Scholastic philosophers,
Hesiod,c. 700 BC,Hesiod.txt,Year of death unknown,
Hibat Allah Abu'l-Barakat al-Baghdaadi,1080–1165,Hibat_Allah_Abu'l-Barakat_al-Baghdaadi.txt,Jewish philosophers,
Hierocles (Stoic),2nd century,Hierocles_(Stoic).txt,2nd-century philosophers,
Hilary Greaves,born 1978,Hilary_Greaves.txt,Philosophers of science,Philosophers of science
Hilary Putnam,1926–2016,Hilary_Putnam.txt,Epistemologists,Philosophers of mind
Hildegard of Bingen,1098–1179,Hildegard_of_Bingen.txt,Catholic philosophers,
Hillel ben Samuel of Verona,1220–1295,Hillel_ben_Samuel_of_Verona.txt,Jewish philosophers,
Hippias,5th century BC,Hippias.txt,Ancient Greek mathematicians,
Hippocrates,460–380 BC,Hippocrates.txt,Year of birth uncertain,
Hippolyte Taine,1828–1893,Hippolyte_Taine.txt,Members of the Académie Française,
Ho Yen,190–249,Ho_Yen.txt,Philosophers from Henan,
Homer,c. 700 BC,Homer.txt,People whose existence is disputed,
Hossein Nasr,born 1933,Hossein_Nasr.txt,Islamic philosophers,
Houston Stewart Chamberlain,1855–1927,Houston_Stewart_Chamberlain.txt,19th-century philosophers,
Hryhori Skovoroda,1722–1794,Hryhori_Skovoroda.txt,Enlightenment philosophers,
Hsi K'ang,223–262,Hsi_K'ang.txt,Guqin players,
Hsiung Shih-li,1885–1968,Hsiung_Shih-li.txt,20th-century essayists,
Hsu Fu-kuan,1903–1982,Hsu_Fu-kuan.txt,20th-century historians,
Hu Shih,1891–1962,Hu_Shih.txt,Members of the Prussian Academy of Sciences,
Huang Zongxi,1610–1695,Huang_Zongxi.txt,Chinese Confucianists,
Hubert Damisch,1928–2017,Hubert_Damisch.txt,French male non-fiction writers,
Hubert Schleichert,born 1935,Hubert_Schleichert.txt,20th-century Austrian philosophers,
Hugh Blair,1718–1800,Hugh_Blair.txt,Enlightenment philosophers,
Hugh of St Victor,c. 1078–1141,Hugh_of_St_Victor.txt,Scholastic philosophers,
Hughes Felicité Robert de Lamennais,1752–1854,Hughes_Felicité_Robert_de_Lamennais.txt,Catholic philosophers,
Hugo Dingler,1881–1954,Hugo_Dingler.txt,Philosophers of science,Philosophers of science
Hugo Grotius,1583–1645,Hugo_Grotius.txt,Philosophers of law,Philosophers of law
Hui Shi,4th century BC,Hui_Shi.txt,Zhou dynasty philosophers,
Huston Smith,1919–2016,Huston_Smith.txt,Philosophers of religion,Philosophers of religion
Hypatia of Alexandria,370–415,Hypatia_of_Alexandria.txt,Neoplatonists,
Hélène Cixous,born 1937,Hélène_Cixous.txt,Jewish philosophers,Philosophers of sexuality
I. A. Richards,1893–1979,I._A._Richards.txt,Corresponding Fellows of the British Academy,
Iamblichus (philosopher),ca. 245&nbsp;AD-ca. 325,Iamblichus_(philosopher).txt,Neoplatonists,
Ian Hacking,born 1936,Ian_Hacking.txt,Philosophers of science,Philosophers of science
Ian Thomas Ramsey,1915–1972,Ian_Thomas_Ramsey.txt,"Fellows of Oriel College, Oxford",
Ibn Arabi,1164–1240,Ibn_Arabi.txt,Islamic philosophers,
Ibn Bajjah,died 1138,Ibn_Bajjah.txt,Natural philosophers,Philosophers of Al-Andalus
Ibn Daud,1110–1180,Ibn_Daud.txt,Philosophers of Judaism,Philosophers of Judaism
Ibn Falaquera,1223–1290,Ibn_Falaquera.txt,Spanish philosophers,
Ibn Hazm,994–1069,Ibn_Hazm.txt,Islamic philosophers,
Ibn Kammuna,1215–1284,Ibn_Kammuna.txt,Jewish philosophers,
Ibn Khaldun,1332–1406,Ibn_Khaldun.txt,Philosophers of history,Philosophers of history
Ibn Masarra,883–931,Ibn_Masarra.txt,Islamic philosophers,Philosophers of Al-Andalus
Ibn Miskawayh,940–1030,Ibn_Miskawayh.txt,Islamic philosophers,
Ibn Sabin,1217–1268,Ibn_Sabin.txt,Islamic philosophers,
Ibn Taymiya,1263–1328,Ibn_Taymiya.txt,Critics of atheism,
Ibn Tufail,1110–1185,Ibn_Tufail.txt,Islamic philosophers,Philosophers of Al-Andalus
Ibn ar-Rawandi,827–911,Ibn_ar-Rawandi.txt,Critics of Sunni Islam,
Immanuel Kant,1724–1804,Immanuel_Kant.txt,Epistemologists,Philosophers of mind
Immanuel the Roman,c. 1270 – c. 1330,Immanuel_the_Roman.txt,Jewish poets,
Imre Lakatos,1922–1974,Imre_Lakatos.txt,Philosophers of science,Philosophers of science
Iris Marion Young,1949–2006,Iris_Marion_Young.txt,20th-century American philosophers,
Iris Murdoch,1919–1999,Iris_Murdoch.txt,Moral philosophers,Philosophers of culture
Isaac Abrabanel,1437–1508,Isaac_Abrabanel.txt,Jewish philosophers,
Isaac Albalag,13th century,Isaac_Albalag.txt,Year of birth unknown,
Isaac Israeli ben Solomon,c. 850–950,Isaac_Israeli_ben_Solomon.txt,Philosophers of Judaism,Philosophers of Judaism
Isaac La Peyrère,1596–1676,Isaac_La_Peyrère.txt,Converts to Roman Catholicism from Calvinism,
Isaac Newton,1642–1727,Isaac_Newton.txt,Philosophers of science,Philosophers of science
Isaac Orobio de Castro,1617–1687,Isaac_Orobio_de_Castro.txt,University of Salamanca faculty,
Isaac ben Joseph ibn Pulgar,14th century,Isaac_ben_Joseph_ibn_Pulgar.txt,13th-century births,
Isaac ben Moses Arama,1420–1494,Isaac_ben_Moses_Arama.txt,Jewish philosophers,
Isaac of Stella,1105–1177,Isaac_of_Stella.txt,English theologians,
Isaiah Berlin,1909–1997,Isaiah_Berlin.txt,Social philosophers,
Isocrates,436–338 BC,Isocrates.txt,4th-century BC Greek people,
István Mészáros (philosopher),1930–2017,István_Mészáros_(philosopher).txt,Marxist theorists,
Ito Jinsai,1627–1705,Ito_Jinsai.txt,Japanese writers of the Edo period,
Ivan Aleksandrovich Il'in,1883–1954,Ivan_Aleksandrovich_Il'in.txt,20th-century Russian philosophers,
Ivan Kireevsky,1806–1856,Ivan_Kireevsky.txt,19th-century male writers,
Ivan Pavlov,1849–1936,Ivan_Pavlov.txt,Foreign Members of the Royal Society,
Ivan Sviták,1925–1994,Ivan_Sviták.txt,Marxist humanists,
J. J. C. Smart,1920–2012,J._J._C._Smart.txt,Metaphysicians,Philosophers of mind
J. J. Valberg,born 1936,J._J._Valberg.txt,Epistemologists,
J. L. Austin,1911–1960,J._L._Austin.txt,Epistemologists,Philosophers of mind
J. L. Mackie,1917–1981,J._L._Mackie.txt,Metaphysicians,Philosophers of ethics and morality
J. N. Findlay,1903–1987,J._N._Findlay.txt,20th-century American philosophers,
J.B. Schneewind,born 1930,J.B._Schneewind.txt,American philosophers,
Jaakko Hintikka,1929–2015,Jaakko_Hintikka.txt,Analytic philosophers,Philosophers of language
Jacob Burckhardt,1818–1897,Jacob_Burckhardt.txt,19th-century male writers,
Jacob Moleschott,1822–1893,Jacob_Moleschott.txt,Materialists,
Jacobus Arminius,1560–1609,Jacobus_Arminius.txt,Leiden University alumni,
Jacopo Zabarella,1533–1589,Jacopo_Zabarella.txt,Scholastic philosophers,
Jacques Derrida,1930–2004,Jacques_Derrida.txt,Epistemologists,Philosophers of mind
Jacques Lacan,1901–1981,Jacques_Lacan.txt,Philosophers of culture,Philosophers of culture
Jacques Lefèvre d'Étaples,c. 1455–c. 1536,Jacques_Lefèvre_d'Étaples.txt,French male non-fiction writers,
Jacques Maritain,1882–1973,Jacques_Maritain.txt,Epistemologists,
Jacques Rancière,born 1940,Jacques_Rancière.txt,Continental philosophers,Philosophers of art
Jacques Rohault,1617–1672,Jacques_Rohault.txt,French male non-fiction writers,
Jacques-André Naigeon,1738–1810,Jacques-André_Naigeon.txt,Atheist philosophers,
Jacques-Bénigne Bossuet,1627–1704,Jacques-Bénigne_Bossuet.txt,French male non-fiction writers,
Jaegwon Kim,1934–2019,Jaegwon_Kim.txt,Epistemologists,Philosophers of mind
Jakob Böhme,1575–1624,Jakob_Böhme.txt,Epistemologists,Philosophers of religion
Jakob Friedrich Fries,1773–1843,Jakob_Friedrich_Fries.txt,German male writers,
Jakob Sigismund Beck,1761–1840,Jakob_Sigismund_Beck.txt,Epistemologists,Philosophers of mind
Jalal al-Din al-Dawani,1426–1502,Jalal_al-Din_al-Dawani.txt,Islamic philosophers,
Jamal al-Din al-Afghani,1839–1897,Jamal_al-Din_al-Afghani.txt,1838 births,
James Beattie (writer),1735–1803,James_Beattie_(writer).txt,Enlightenment philosophers,
"James Bryce, 1st Viscount Bryce",1838–1922,"James_Bryce,_1st_Viscount_Bryce.txt",Fellows of the British Academy,
"James Burnett, Lord Monboddo",1714–1799,"James_Burnett,_Lord_Monboddo.txt",Enlightenment philosophers,
James Clerk Maxwell,1831–1879,James_Clerk_Maxwell.txt,Fellows of the Royal Society,
"James Dalrymple, 1st Viscount Stair",1619–1695,"James_Dalrymple,_1st_Viscount_Stair.txt",,
James Dunbar (writer),1742–1798,James_Dunbar_(writer).txt,British philosophers,
James Edwin Creighton,1861–1924,James_Edwin_Creighton.txt,American philosophers,
James Frederick Ferrier,1808–1864,James_Frederick_Ferrier.txt,Historians of philosophy,
James Griffin (philosopher),1933–2019,James_Griffin_(philosopher).txt,Presidents of the Aristotelian Society,
James Harrington (author),1611–1677,James_Harrington_(author).txt,English political philosophers,
James Hopwood Jeans,1877–1946,James_Hopwood_Jeans.txt,Metaphysicians,Philosophers of mind
James Hutchison Stirling,1820–1909,James_Hutchison_Stirling.txt,Scottish philosophers,
James Hutton,1726–1797,James_Hutton.txt,University of Paris alumni,
James Martineau,1805–1900,James_Martineau.txt,English philosophers,
James McCosh,1811–1894,James_McCosh.txt,Scottish philosophers,
James Mill,1773–1836,James_Mill.txt,19th-century essayists,
James Ward (psychologist),1843–1925,James_Ward_(psychologist).txt,English philosophers,
James of Viterbo,1255–1308,James_of_Viterbo.txt,Augustinian friars,
Jan Hus,1369–1415,Jan_Hus.txt,Executed philosophers,
Jan Lukasiewicz,1878–1956,Jan_Lukasiewicz.txt,,
Jan Patočka,1907–1977,Jan_Patočka.txt,Phenomenologists,
Jan Sniadecki,1756–1830,Jan_Sniadecki.txt,,
Jane Addams,1860–1935,Jane_Addams.txt,20th-century American philosophers,
Janet Radcliffe Richards,born 1944,Janet_Radcliffe_Richards.txt,20th-century British philosophers,
Javad Tabatabai,born 1945,Javad_Tabatabai.txt,Political philosophers,
Jayarāśi Bhaṭṭa,fl. c. 800,Jayarāśi_Bhaṭṭa.txt,Indian atheists,
Je Tsongkhapa,1357–1419,Je_Tsongkhapa.txt,Founders of Buddhist sects,
Jean Anthelme Brillat-Savarin,1755–1826,Jean_Anthelme_Brillat-Savarin.txt,French male non-fiction writers,
Jean Baudrillard,1929–2007,Jean_Baudrillard.txt,Epistemologists,Philosophers of mind
Jean Bodin,1530–1596,Jean_Bodin.txt,French male writers,
Jean Buridan,1300–1358,Jean_Buridan.txt,Catholic philosophers,
Jean Cavaillès,1903–1944,Jean_Cavaillès.txt,Continental philosophers,Philosophers of mathematics
Jean Gerson,1363–1429,Jean_Gerson.txt,University of Paris alumni,
Jean Hyppolite,1907–1968,Jean_Hyppolite.txt,French male non-fiction writers,
Jean Jacques Rousseau,1712–1778,Jean_Jacques_Rousseau.txt,Philosophers of mind,Philosophers of mind
Jean Leclerc (theologian),1657–1737,Jean_Leclerc_(theologian).txt,People from Geneva,
Jean Meslier,1664–1729,Jean_Meslier.txt,Atheist philosophers,
Jean Piaget,1896–1980,Jean_Piaget.txt,Epistemologists,
Jean Reynaud,1806–1863,Jean_Reynaud.txt,French male writers,
Jean Wahl,1888–1974,Jean_Wahl.txt,Metaphysicians,
Jean de La Bruyère,1645–1696,Jean_de_La_Bruyère.txt,Catholic philosophers,
Jean le Rond d'Alembert,1717–1783,Jean_le_Rond_d'Alembert.txt,Fellows of the American Academy of Arts and Sciences,
Jean-Baptiste Dubos,1670–1742,Jean-Baptiste_Dubos.txt,Philosophers of art,Philosophers of art
Jean-Baptiste Lamarck,1744–1829,Jean-Baptiste_Lamarck.txt,French male writers,
Jean-François Lyotard,1924–1998,Jean-François_Lyotard.txt,Continental philosophers,Philosophers of art
Jean-Luc Nancy,born 1940,Jean-Luc_Nancy.txt,Continental philosophers,
Jean-Paul Sartre,1905–1980,Jean-Paul_Sartre.txt,Epistemologists,Philosophers of mind
Jennifer Hornsby,born 1951,Jennifer_Hornsby.txt,Philosophers of mind,Philosophers of mind
Jeremy Bentham,1748–1832,Jeremy_Bentham.txt,Epistemologists,Philosophers of mind
Jerome Frank (lawyer),1889–1957,Jerome_Frank_(lawyer).txt,University of Chicago alumni,
Jerry Fodor,1935–2017,Jerry_Fodor.txt,Philosophers of mind,Philosophers of mind
Jerzy Wróblewski,1926–1990,Jerzy_Wróblewski.txt,Philosophers of law,Philosophers of law
Jiddu Krishnamurti,1895–1986,Jiddu_Krishnamurti.txt,Philosophers of love,Philosophers of love
Jinul,1158–1210,Jinul.txt,Founders of Buddhist sects,
Joachim Jungius,1587–1657,Joachim_Jungius.txt,German philosophers,
Joachim of Fiore,1135–1201,Joachim_of_Fiore.txt,Roman Catholic mystics,
Joane Petrizi,12th century,Joane_Petrizi.txt,Neoplatonists,
Joel Feinberg,1926–2004,Joel_Feinberg.txt,Social philosophers,Philosophers of law
Johann Augustus Eberhard,1739–1809,Johann_Augustus_Eberhard.txt,German male writers,
Johann Bernhard Basedow,1724–1790,Johann_Bernhard_Basedow.txt,German male writers,
Johann Christoph Gottsched,1700–1766,Johann_Christoph_Gottsched.txt,German philosophers,
Johann Franz Buddeus,1667–1729,Johann_Franz_Buddeus.txt,German male non-fiction writers,
Johann Friedrich Herbart,1776–1841,Johann_Friedrich_Herbart.txt,Epistemologists,Philosophers of ethics and morality
Johann Georg Hamann,1730–1788,Johann_Georg_Hamann.txt,Philosophers of language,Philosophers of language
Johann Gottfried Herder,1744–1803,Johann_Gottfried_Herder.txt,Philosophers of mind,Philosophers of mind
Johann Heinrich Lambert,1728–1777,Johann_Heinrich_Lambert.txt,German male writers,
Johann Heinrich Pestalozzi,1746–1827,Johann_Heinrich_Pestalozzi.txt,Swiss Protestants,
Johann Jakob Bachofen,1815–1887,Johann_Jakob_Bachofen.txt,1887 deaths,
Johann Karl Friedrich Rosenkranz,1805–1879,Johann_Karl_Friedrich_Rosenkranz.txt,German male writers,
Johann Kaspar Lavater,1741–1801,Johann_Kaspar_Lavater.txt,Christian poets,
Johann Sturm,1635–1703,Johann_Sturm.txt,17th-century German male writers,
Johann Wolfgang Goethe,1749–1832,Johann_Wolfgang_Goethe.txt,Enlightenment philosophers,
Johannes Althusius,1557–1638,Johannes_Althusius.txt,Political philosophers,
Johannes Capreolus,1380–1444,Johannes_Capreolus.txt,Scholastic philosophers,
Johannes Clauberg,1622–1665,Johannes_Clauberg.txt,German male writers,
Johannes Kepler,1571–1630,Johannes_Kepler.txt,Anglican saints,
Johannes Nikolaus Tetens,1736–1807,Johannes_Nikolaus_Tetens.txt,German male writers,
Johannes Scotus Eriugena,c. 800–c. 880,Johannes_Scotus_Eriugena.txt,Catholic philosophers,
Johannes Tauler,c. 1300 – 1361,Johannes_Tauler.txt,German male non-fiction writers,
John Anderson (philosopher),1893–1962,John_Anderson_(philosopher).txt,Analytic philosophers,Philosophers of religion
John Arthur Passmore,1914–2004,John_Arthur_Passmore.txt,Epistemologists,Philosophers of mind
John Austin (legal philosophy),1790–1859,John_Austin_(legal_philosophy).txt,Philosophers of law,Philosophers of law
John B. Watson,1878–1958,John_B._Watson.txt,20th-century psychologists,
John Balguy,1686–1748,John_Balguy.txt,"Alumni of St John's College, Cambridge",
John Calvin,1509–1564,John_Calvin.txt,University of Paris alumni,
John Colet,1466–1519,John_Colet.txt,Christian humanists,
John Cook Wilson,1849–1915,John_Cook_Wilson.txt,English philosophers,
John Dewey,1859–1952,John_Dewey.txt,Epistemologists,Philosophers of mind
John Earman,born 1942,John_Earman.txt,Philosophers of science,Philosophers of science
John Ellis McTaggart,1866–1925,John_Ellis_McTaggart.txt,Metaphysicians,Philosophers of time
John Finnis,born 1940,John_Finnis.txt,Catholic philosophers,Philosophers of law
John Fiske (philosopher),1842–1901,John_Fiske_(philosopher).txt,American political philosophers,
John Gay,1685–1732,John_Gay.txt,English male poets,
John Gray (philosopher),born 1948,John_Gray_(philosopher).txt,Epistemologists,Philosophers of mind
John Grote,1813–1866,John_Grote.txt,Moral philosophers,
John Henry Newman,1801–1890,John_Henry_Newman.txt,Epistemologists,
John Herschel,1792–1871,John_Herschel.txt,Fellows of the American Academy of Arts and Sciences,
John Hick,1922–2012,John_Hick.txt,Epistemologists,Philosophers of religion
John Holloway (sociologist),born 1947,John_Holloway_(sociologist).txt,Marxist theorists,
John Locke,1632–1704,John_Locke.txt,Epistemologists,Philosophers of language
John Lucas (philosopher),born 1929,John_Lucas_(philosopher).txt,Analytic philosophers,Philosophers of mathematics
John Major (philosopher),1467–1550,John_Major_(philosopher).txt,Catholic philosophers,
John Maynard Keynes,1883–1946,John_Maynard_Keynes.txt,Fellows of the British Academy,
John McDowell,born 1942,John_McDowell.txt,Epistemologists,Philosophers of mind
John Millar (philosopher),1735–1801,John_Millar_(philosopher).txt,Enlightenment philosophers,
John Milton,1608–1674,John_Milton.txt,Anglican philosophers,
John Norris (philosopher),1657–1711,John_Norris_(philosopher).txt,English male poets,
John Peckham,died 1292,John_Peckham.txt,13th-century Latin writers,
John Philoponus,early 6th century,John_Philoponus.txt,Christian philosophers,
John Ralston Saul,born 1947,John_Ralston_Saul.txt,1947 births,
John Rawls,1921–2002,John_Rawls.txt,Epistemologists,Philosophers of mind
John Ray,1627–1705,John_Ray.txt,Fellows of the Royal Society,
John Searle,born 1932,John_Searle.txt,Epistemologists,Philosophers of mind
John Selden,1584–1654,John_Selden.txt,17th-century Latin-language writers,
John Sergeant (priest),1623–1704,John_Sergeant_(priest).txt,"Alumni of St John's College, Cambridge",
John Stuart Mill,1806–1873,John_Stuart_Mill.txt,Philosophers of mind,Philosophers of mind
John Toland,1670–1722,John_Toland.txt,Enlightenment philosophers,
John Venn,1834–1923,John_Venn.txt,English philosophers,
John Wisdom,1904–1993,John_Wisdom.txt,Philosophers of mind,Philosophers of mind
John Witherspoon,1723–1794,John_Witherspoon.txt,1723 births,
John Wood Oman,1860–1939,John_Wood_Oman.txt,Fellows of the British Academy,
John Wyclif,c. 1330 – 1384,John_Wyclif.txt,,
John of Damascus,c. 676–749,John_of_Damascus.txt,Anglican saints,
John of Jandun,1280–1328,John_of_Jandun.txt,French male writers,
John of La Rochelle,1190–1245,John_of_La_Rochelle.txt,Scholastic philosophers,
John of Mirecourt,c. 1345,John_of_Mirecourt.txt,Scholastic philosophers,
John of Paris,1260–1306,John_of_Paris.txt,Catholic philosophers,
John of Ruysbroeck,1293–1381,John_of_Ruysbroeck.txt,14th-century venerated Christians,
John of Salisbury,c. 1115–1180,John_of_Salisbury.txt,Scholastic philosophers,
John of St. Thomas,1589–1644,John_of_St._Thomas.txt,Scholastic philosophers,
John of the Cross,1542–1591,John_of_the_Cross.txt,Anglican saints,
John von Neumann,1903–1957,John_von_Neumann.txt,Princeton University faculty,
Jon Elster,born 1940,Jon_Elster.txt,Philosophers of social science,Philosophers of social science
Jonathan Barnes,born 1942,Jonathan_Barnes.txt,Fellows of the American Academy of Arts and Sciences,
Jonathan Bennett (philosopher),born 1930,Jonathan_Bennett_(philosopher).txt,Philosophers of language,Philosophers of language
Jonathan Edwards (theologian),1703–1758,Jonathan_Edwards_(theologian).txt,American political philosophers,
Jonathan Glover,born 1941,Jonathan_Glover.txt,20th-century British philosophers,
Jordan B. Peterson,born 1962,Jordan_B._Peterson.txt,Theorists on Western civilization,
Jose Ferrater-Mora,1912–1991,Jose_Ferrater-Mora.txt,Moral philosophers,
Josef Popper-Lynkeus,1838–1921,Josef_Popper-Lynkeus.txt,Writers from Vienna,
Joseph Addison,1672–1719,Joseph_Addison.txt,English male non-fiction writers,
Joseph Albo,1380–1444,Joseph_Albo.txt,Philosophers of Judaism,Philosophers of Judaism
Joseph Butler,1692–1752,Joseph_Butler.txt,Anglican saints,
Joseph D. Sneed,1938–2020,Joseph_D._Sneed.txt,Analytic philosophers,
Joseph Dietzgen,1828–1888,Joseph_Dietzgen.txt,Atheist philosophers,
Joseph Déjacque,1821–1865,Joseph_Déjacque.txt,French male writers,
Joseph Glanvill,1636–1680,Joseph_Glanvill.txt,Fellows of the Royal Society,
Joseph Maréchal,1878–1944,Joseph_Maréchal.txt,Catholic philosophers,
Joseph Priestley,1733–1804,Joseph_Priestley.txt,English philosophers,
Joseph Raz,born 1939,Joseph_Raz.txt,Analytic philosophers,Philosophers of law
Joseph Rovan,1918–2004,Joseph_Rovan.txt,French male non-fiction writers,
Joseph Schumpeter,1883–1950,Joseph_Schumpeter.txt,Harvard University faculty,
Joseph Smith,1805–1844,Joseph_Smith.txt,Founders of religions,
Joseph Soloveitchik,1903–1993,Joseph_Soloveitchik.txt,20th-century American philosophers,Philosophers of religion
Joseph Vissarionovich Stalin,1878–1953,Joseph_Vissarionovich_Stalin.txt,20th-century atheists,
Joseph de Maistre,1753–1821,Joseph_de_Maistre.txt,Social critics,
Joseph ibn Tzaddik,c. 1149,Joseph_ibn_Tzaddik.txt,Year of birth unknown,
Josiah Gibbs,1839–1903,Josiah_Gibbs.txt,Philosophers of science,Philosophers of science
Josiah Royce,1865–1916,Josiah_Royce.txt,Corresponding Fellows of the British Academy,
José Carlos Mariátegui,1894–1930,José_Carlos_Mariátegui.txt,20th-century essayists,
José Ingenieros,1877–1925,José_Ingenieros.txt,Atheist philosophers,
José Martí,1853–1895,José_Martí.txt,Political philosophers,
José Ortega y Gasset,1883–1955,José_Ortega_y_Gasset.txt,Epistemologists,Philosophers of mind
José Pablo Feinmann,born 1943,José_Pablo_Feinmann.txt,Male essayists,
Juan José Sebreli,born 1930,Juan_José_Sebreli.txt,Epistemologists,
Juan Luís Vives,1492–1540,Juan_Luís_Vives.txt,University of Paris alumni,
Juan de Mariana,1536–1624,Juan_de_Mariana.txt,School of Salamanca,
Judah Leon Abravanel,1460?–1535?,Judah_Leon_Abravanel.txt,Medieval Jewish philosophers,
Judah Messer Leon,c. 1425 – c. 1495,Judah_Messer_Leon.txt,Jewish philosophers,
Judah ben Moses of Rome,1292–1330,Judah_ben_Moses_of_Rome.txt,Jewish philosophers,
Judith Butler,born 1956,Judith_Butler.txt,Epistemologists,Philosophers of science
Judith Jarvis Thomson,1929–2020,Judith_Jarvis_Thomson.txt,Metaphysicians,
Jules Lequier,1814–1862,Jules_Lequier.txt,French male non-fiction writers,
Julia Kristeva,born 1941,Julia_Kristeva.txt,Continental philosophers,Philosophers of sexuality
Julien Offray de La Mettrie,1709–1751,Julien_Offray_de_La_Mettrie.txt,French male non-fiction writers,
Julius Caesar Scaliger,1484–1558,Julius_Caesar_Scaliger.txt,Catholic philosophers,
Julián Marías,1914–2005,Julián_Marías.txt,Harvard University faculty,
Juri Lotman,1922–1993,Juri_Lotman.txt,20th-century male writers,
Justinian I,483–565,Justinian_I.txt,Pre-Reformation saints of the Lutheran liturgical calendar,
