Name,Birth/death dates,File name,Category,Field
Ando Shoeki,1703–1762,Ando_Shoeki.txt,18th-century Japanese philosophers,
Andrew Feenberg,born 1943,Andrew_Feenberg.txt,Philosophers of technology,Philosophers of technology
Andrew Seth Pringle-Pattison,1856–1931,Andrew_Seth_Pringle-Pattison.txt,Fellows of the British Academy,
Andronicus of Rhodes,c. 70 BC,Andronicus_of_Rhodes.txt,Ancient Greek ethicists,
André Gorz,1923–2007,André_Gorz.txt,Social philosophers,
André Lalande (philosopher),1867–1964,André_Lalande_(philosopher).txt,Moral philosophers,Philosophers of science
André Malraux,1901–1976,André_Malraux.txt,Philosophers of art,Philosophers of art
André-Marie Ampère,1775–1836,André-Marie_Ampère.txt,French Roman Catholics,
Angela Davis,born 1944,Angela_Davis.txt,20th-century American philosophers,
Anicius Manlius Severinus Boethius,AD 480–524/525,Anicius_Manlius_Severinus_Boethius.txt,Catholic philosophers,Philosophers of Roman Italy
Ann Ferguson,born 1938,Ann_Ferguson.txt,20th-century American philosophers,
Anna J. Cooper,1858–1964,Anna_J._Cooper.txt,Anglican saints,
Anna Maria van Schurman,1607–1678,Anna_Maria_van_Schurman.txt,17th-century Latin-language writers,
Anne Louise Germaine de Staël,1766–1817,Anne_Louise_Germaine_de_Staël.txt,19th-century philosophers,
Annette Baier,1929–2012,Annette_Baier.txt,Moral philosophers,
Anniceris,fl. 300 BC,Anniceris.txt,4th-century BC philosophers,
Anselm of Canterbury,1034–1109,Anselm_of_Canterbury.txt,Ontologists,
Antero de Quental,1842–1891,Antero_de_Quental.txt,19th-century male writers,
"Anthony Ashley-Cooper, 3rd Earl of Shaftesbury",1671–1713,"Anthony_Ashley-Cooper,_3rd_Earl_of_Shaftesbury.txt",Moral philosophers,Philosophers of ethics and morality
Anthony Collins,1676–1729,Anthony_Collins.txt,English philosophers,
Anthony Kenny,born 1931,Anthony_Kenny.txt,Philosophers of mind,Philosophers of mind
Anthony Quinton,1925–2010,Anthony_Quinton.txt,Epistemologists,Philosophers of mind
Antiochus of Ascalon,c. 130–68 BC,Antiochus_of_Ascalon.txt,Founders of philosophical traditions,
Antiphon (person),480–403 BC,Antiphon_(person).txt,Ancient Greek mathematicians,
Antisthenes,c. 444–365,Antisthenes.txt,Moral philosophers,Philosophers of science
Antoine Arnauld,1612–1694,Antoine_Arnauld.txt,Catholic philosophers,
Antoine Augustin Cournot,1801–1877,Antoine_Augustin_Cournot.txt,French male non-fiction writers,
Antoine Destutt de Tracy,1754–1836,Antoine_Destutt_de_Tracy.txt,Social philosophers,
Antoine Lavoisier,1743–1794,Antoine_Lavoisier.txt,Fellows of the Royal Society,
Antoine Le Grand,1629–1699,Antoine_Le_Grand.txt,French male writers,
Anton Marty,1847–1914,Anton_Marty.txt,Epistemologists,Philosophers of language
Anton Wilhelm Amo,1703–c. 1759,Anton_Wilhelm_Amo.txt,German philosophers,
Antonie Pannekoek,1873–1960,Antonie_Pannekoek.txt,Marxist theorists,
Antonin Scalia,1936–2016,Antonin_Scalia.txt,University of Chicago faculty,
Antonio Aliotta,1881–1964,Antonio_Aliotta.txt,20th-century Italian philosophers,
Antonio Banfi,1886–1957,Antonio_Banfi.txt,20th-century Italian philosophers,
Antonio Caso,1883–1946,Antonio_Caso.txt,1883 births,
Antonio Genovesi,1712–1769,Antonio_Genovesi.txt,Enlightenment philosophers,
Antonio Gramsci,1891–1937,Antonio_Gramsci.txt,Continental philosophers,
Antonio Labriola,1843–1904,Antonio_Labriola.txt,Marxist theorists,
Antonio Negri,born 1933,Antonio_Negri.txt,Continental philosophers,
Antonio Rosmini-Serbati,1797–1855,Antonio_Rosmini-Serbati.txt,Italian philosophers,
Apuleius,c. 123–c. 180,Apuleius.txt,2nd-century philosophers,
Arcesilaus,316–241 BC,Arcesilaus.txt,Founders of philosophical traditions,
Archibald Alison (Scottish author),1757–1839,Archibald_Alison_(Scottish_author).txt,Enlightenment philosophers,
Archytas,428–347 BC,Archytas.txt,4th-century BC philosophers,
Aristippus,c. 435–366 BC,Aristippus.txt,Founders of philosophical traditions,
Aristo of Chios,fl. 250 BC,Aristo_of_Chios.txt,Year of birth unknown,
Aristotle,384 BC–322 BC,Aristotle.txt,Ontologists,Philosophers of science
Arius,256–336,Arius.txt,Founders of religions,
Arne Næss,1912–2009,Arne_Næss.txt,Moral philosophers,
Arnold Gehlen,1904–1976,Arnold_Gehlen.txt,20th-century German philosophers,
Arnold Geulincx,1624–1669,Arnold_Geulincx.txt,Philosophers of mind,Philosophers of mind
Arnold Ruge,1802–1880,Arnold_Ruge.txt,Continental philosophers,
Aron Gurwitsch,1901–1973,Aron_Gurwitsch.txt,Jewish philosophers,
Arthur Balfour,1848–1930,Arthur_Balfour.txt,Fellows of the American Academy of Arts and Sciences,
Arthur Collier,1680–1732,Arthur_Collier.txt,English philosophers,
Arthur Danto,1924–2013,Arthur_Danto.txt,Epistemologists,Philosophers of mind
Arthur Edward Murphy,1901–1962,Arthur_Edward_Murphy.txt,20th-century American philosophers,
Arthur M. Young,1905–1995,Arthur_M._Young.txt,20th-century American philosophers,
Arthur Oncken Lovejoy,1873–1962,Arthur_Oncken_Lovejoy.txt,Harvard University alumni,Philosophers of time
Arthur Prior,1914–1969,Arthur_Prior.txt,Epistemologists,Philosophers of ethics and morality
Arthur Schopenhauer,1788–1860,Arthur_Schopenhauer.txt,Epistemologists,Philosophers of mind
Arthur Stanley Eddington,1882–1944,Arthur_Stanley_Eddington.txt,Fellows of the Royal Society,
Arthur de Gobineau,1816–1882,Arthur_de_Gobineau.txt,French male novelists,
Asa Gray,1810–1888,Asa_Gray.txt,American male non-fiction writers,
Asher Ginsberg,1856–1927,Asher_Ginsberg.txt,1856 births,
