Name,Birth/death dates,File name
Ch'ien Mu,1895–1990,Ch'ien_Mu.txt
Chanakya,321–296 BC,Chanakya.txt
Chang Hsueh-ch'eng,1738–1801,Chang_Hsueh-ch'eng.txt
Chang Tsai,1020–1077,Chang_Tsai.txt
Charles Babbage,1791–1871,Charles_Babbage.txt
Charles Batteux,1713–1780,Charles_Batteux.txt
Charles Bernard Renouvier,1815–1903,Charles_Bernard_Renouvier.txt
Charles Blount (deist),1654–1693,Charles_Blount_(deist).txt
Charles Bonnet,1720–1793,Charles_Bonnet.txt
Charles Darwin,1809–1882,Charles_Darwin.txt
Charles Fourier,1772–1837,Charles_Fourier.txt
Charles Hartshorne,1897–2000,Charles_Hartshorne.txt
Charles Leslie Stevenson,1908–1979,Charles_Leslie_Stevenson.txt
Charles Sanders Peirce,1839–1914,Charles_Sanders_Peirce.txt
Charles Secrétan,1815–1895,Charles_Secrétan.txt
Charles Taylor (philosopher),born 1931,Charles_Taylor_(philosopher).txt
"Charles de Secondat, Baron de Montesquieu",1689–1755,"Charles_de_Secondat,_Baron_de_Montesquieu.txt"
Chauncey Wright,1830–1875,Chauncey_Wright.txt
Cheng Hao,1032–1085,Cheng_Hao.txt
Cheng Hsuan,127–200,Cheng_Hsuan.txt
Cheng Yi (philosopher),1033–1107,Cheng_Yi_(philosopher).txt
Chia Yi,201–169 BC,Chia_Yi.txt
Chih Tun,314–366,Chih_Tun.txt
Chou Tun-Yi,1017–1073,Chou_Tun-Yi.txt
Christiaan Huygens,1629–1695,Christiaan_Huygens.txt
Christian August Crusius,1715–1775,Christian_August_Crusius.txt
Christian Friedrich Hebbel,1813–1863,Christian_Friedrich_Hebbel.txt
Christian Garve,1742–1798,Christian_Garve.txt
Christian Hermann Weisse,1801–1866,Christian_Hermann_Weisse.txt
Christian Thomasius,1655–1728,Christian_Thomasius.txt
Christian Wolff (philosopher),1679–1754,Christian_Wolff_(philosopher).txt
Christian von Ehrenfels,1856–1932,Christian_von_Ehrenfels.txt
